handle,make,model,trim,fuel,msrp,doors,horsepower,acceleration,model_year,form_factor,battery_capacity,ac_charging_power,dc_charging_power,seats_min,seats_max,cargo_volume_min,cargo_volume_max,electric_range,total_range,electric_efficiency,gvwr,curb_weight,display_name,drivetrain,fossil_fuel_efficiency,locally_available,plug_types,towing_capacity
Acura_ZDX_A-Spec_AWD_BEV_2024_CA,Acura,ZDX,A-Spec,BEV,84990,4,490,5.5,2024,SUV,102,11.0,190.0,2,5,793,1722,489,489,24.0,,2678.0,ZDX A-Spec,All-Wheel Drive,,1,"['CCS1', 'J1772']",
Acura_ZDX_Type_S_BEV_2024_CA,Acura,ZDX,Type S,BEV,91490,4,500,5.0,2024,SUV,102,11.0,190.0,2,5,793,1722,447,447,27.0,,2169.0,ZDX Type S,All-Wheel Drive,,1,"['CCS1', 'J1772']",
Alfa_Romeo_Tonale_PHEV_2024_CA,Alfa Romeo,Tonale,Sprint PHEV,PHEV,54865,4,285,6.0,2024,SUV,17,7.0,0.0,5,5,648,1430,53,573,27.0,2419.0,1875.0,Tonale Sprint PHEV,All-Wheel Drive,8.0,1,['J1772'],
Alfa_Romeo_Tonale_Veloce_PHEV_2024_CA,Alfa Romeo,Tonale,Veloce PHEV,PHEV,63290,4,285,6.2,2024,SUV,17,7.0,0.0,2,5,385,1430,53,573,27.0,2419.0,2004.0,Tonale Veloce PHEV,All-Wheel Drive,8.0,1,['J1772'],
Audi_e-tron_GT_BEV_2024_CA,Audi,e-tron GT,quattro,BEV,134315,4,523,4.1,2024,Sedan,93,10.0,270.0,5,5,405,405,399,399,25.0,2840.0,2295.0,e-tron GT quattro,All-Wheel Drive,0.0,1,"['CCS1', 'J1772']",
Audi_Q4_e-tron_45_RWD_BEV_2024_CA,Audi,Q4 e-tron,45 RWD,BEV,59950,4,280,6.6,2024,Crossover,82,11.0,175.0,5,5,520,1490,463,463,18.0,2660.0,2070.0,Q4 e-tron 45 RWD,Rear-Wheel Drive,,1,"['CCS1', 'J1772']",
Audi_Q4_e-tron_55_quattro_BEV_2024_CA,Audi,Q4 e-tron,55 quattro,BEV,64950,4,335,5.3,2024,Crossover,82,11.0,175.0,5,5,520,1490,415,415,20.0,2750.0,2160.0,Q4 e-tron 55 quattro,All-Wheel Drive,,1,"['CCS1', 'J1772']",
Audi_Q4_Sportback_e-tron_55_quattro_BEV_2024_CA,Audi,Q4 Sportback e-tron,55 quattro,BEV,73900,4,295,5.3,2024,Crossover,82,10.0,175.0,5,5,535,1460,415,415,21.0,2760.0,2235.0,Q4 Sportback e-tron 55 quattro,All-Wheel Drive,,1,"['CCS1', 'J1772']",
Audi_Q5_55_TFSIe_quattro_Technik_S_tronic_PHEV_2024_CA,Audi,Q5,Q5 55 TFSI e quattro Technik S tronic,PHEV,76865,4,362,5.3,2024,Crossover,17,8.0,,2,5,757,1444,39,634,36.0,2660.0,2110.0,Q5 Q5 55 TFSI e quattro Technik S tronic,All-Wheel Drive,9.0,1,['J1772'],
Audi_Q6_e-tron_BEV_2025_CA,Audi,Q6 e-tron,,BEV,80445,4,456,5.1,2025,Crossover,100,10.0,270.0,2,5,569,1706,494,494,21.0,2930.0,2390.0,Q6 e-tron,All-Wheel Drive,0.0,1,"['CCS1', 'J1772']",2400.0
Audi_Q8_e-tron_quattro_BEV_2024_CA,Audi,Q8 e-tron,quattro,BEV,92800,4,402,5.7,2024,Crossover,114,10.0,170.0,2,5,660,1597,459,459,26.0,2935.0,2655.0,Q8 e-tron quattro,All-Wheel Drive,0.0,1,"['CCS1', 'J1772']",
Audi_Q8_Sportback_e-tron_quattro_BEV_2024_CA,Audi,Q8 Sportback e-tron,quattro,BEV,96100,4,402,5.7,2024,Crossover,114,10.0,170.0,2,5,614,1555,476,476,24.0,3220.0,2655.0,Q8 Sportback e-tron quattro,All-Wheel Drive,0.0,1,"['CCS1', 'J1772']",
Audi_RS_e-tron_GT_BEV_2024_CA,Audi,RS e-tron GT,quattro,BEV,184615,4,637,3.3,2024,Sedan,93,10.0,270.0,5,5,350,350,399,399,25.0,2860.0,2331.0,RS e-tron GT quattro,All-Wheel Drive,0.0,1,"['CCS1', 'J1772']",
Audi_SQ6_e-tron_BEV_2025_CA,Audi,SQ6 e-tron,Progressiv,BEV,96595,4,509,4.3,2025,Crossover,100,10.0,270.0,2,5,569,1711,443,443,24.0,2954.0,2414.0,SQ6 e-tron Progressiv,All-Wheel Drive,0.0,1,"['CCS1', 'J1772']",2400.0
Audi_SQ8_e-tron_quattro_BEV_2024_CA,Audi,SQ8 e-tron,quattro,BEV,108300,4,496,4.6,2024,Crossover,114,10.0,170.0,2,5,569,1637,409,409,28.0,3290.0,2650.0,SQ8 e-tron quattro,All-Wheel Drive,0.0,1,"['CCS1', 'J1772']",
Audi_SQ8_Sportback_e-tron_quattro_BEV_2024_CA,Audi,SQ8 Sportback e-tron,quattro,BEV,110900,4,496,4.6,2024,Crossover,114,10.0,170.0,2,5,528,1567,409,409,28.0,3290.0,2650.0,SQ8 Sportback e-tron quattro,All-Wheel Drive,0.0,1,"['CCS1', 'J1772']",
BMW_330e_PHEV_2024_CA,BMW,3 Series,330e,PHEV,54900,4,288,5.8,2024,Sedan,12,4.0,,5,5,374,374,35,503,28.0,2345.0,1852.0,3 Series 330e,Rear-Wheel Drive,9.0,1,['J1772'],
BMW_330e_xDrive_PHEV_2024_CA,BMW,3 Series,330e xDrive,PHEV,58900,4,288,5.8,2024,Sedan,12,4.0,,5,5,374,374,34,486,30.0,2300.0,1896.0,3 Series 330e xDrive,All-Wheel Drive,9.0,1,['J1772'],
BMW_i4_eDrive35_BEV_2024_CA,BMW,i4,eDrive35,BEV,54990,4,282,6.0,2024,Hatchback,70,11.0,180.0,5,5,470,1290,444,444,17.0,2619.0,2035.0,i4 eDrive35,Rear-Wheel Drive,0.0,1,"['CCS1', 'J1772']",0.0
BMW_i4_eDrive40_BEV_2024_CA,BMW,i4,eDrive40,BEV,63990,4,335,5.6,2024,Hatchback,84,11.0,205.0,5,5,283,1290,484,484,19.0,2619.0,2123.0,i4 eDrive40,All-Wheel Drive,0.0,1,"['CCS1', 'J1772']",0.0
BMW_i4_M50_BEV_2024_CA,BMW,i4,M50,BEV,79900,4,536,3.9,2024,Hatchback,84,11.0,205.0,5,5,283,1290,433,433,22.0,2772.0,2276.0,i4 M50,All-Wheel Drive,0.0,1,"['CCS1', 'J1772']",0.0
BMW_i4_xDrive40_BEV_2024_CA,BMW,i4,xDrive40,BEV,69990,4,396,5.1,2024,Hatchback,84,11.0,205.0,5,5,283,1290,494,494,19.0,2619.0,2123.0,i4 xDrive40,All-Wheel Drive,0.0,1,"['CCS1', 'J1772']",0.0
BMW_i5_M60_xDrive_BEV_2024_CA,BMW,i5,M60 xDrive,BEV,95000,4,593,3.8,2024,Sedan,84,11.0,205.0,5,5,490,490,412,412,20.0,,,i5 M60 xDrive,All-Wheel Drive,,1,"['CCS1', 'J1772']",
BMW_iX_M60_xDrive_BEV_2024_CA,BMW,iX,M60,BEV,129000,4,610,3.8,2024,SUV,111,11.0,195.0,2,5,500,1750,476,476,26.0,,2617.0,iX M60,All-Wheel Drive,,1,"['CCS1', 'J1772']",
BMW_iX_xDrive40_BEV_2024_CA,BMW,iX,xDrive40,BEV,82000,4,322,6.1,2024,SUV,76,11.0,150.0,2,5,500,1750,351,351,24.0,,2433.0,iX xDrive40,All-Wheel Drive,,1,"['CCS1', 'J1772']",
BMW_iX_xDrive50_BEV_2024_CA,BMW,iX,xDrive50,BEV,98000,4,516,5.1,2024,SUV,111,11.0,195.0,2,5,500,1750,500,500,25.0,,2572.0,iX xDrive50,All-Wheel Drive,,1,"['CCS1', 'J1772']",
BMW_X3_xDrive30e_PHEV_2024_CA,BMW,X3,xDrive30e,PHEV,64990,4,288,6.3,2024,Crossover,12,4.0,,2,5,450,1500,29,531,35.0,2620.0,2086.0,X3 xDrive30e,All-Wheel Drive,10.0,1,['J1772'],
BMW_X5_xDrive50e_PHEV_2024_CA,BMW,X5,xDrive50e,PHEV,90500,4,483,4.8,2024,Crossover,29,7.0,,2,5,937,2016,63,713,36.0,3200.0,2527.0,X5 xDrive50e,All-Wheel Drive,11.0,1,['J1772'],
BMW_XM_PHEV_2024_CA,BMW,XM, ,PHEV,220000,4,644,4.3,2024,SUV,29,7.0,,5,5,527,1820,50,481,46.0,3270.0,2750.0,XM,All-Wheel Drive,17.0,1,['J1772'],
BMW_XM_Label_PHEV_2024_CA,BMW,XM,Label,PHEV,259000,4,738,3.9,2024,SUV,29,7.0,,5,5,527,1820,50,486,46.0,3270.0,2795.0,XM Label,All-Wheel Drive,17.0,1,['J1772'],
Cadillac_LYRIQ_Luxury_1_AWD_BEV_2024_CA,Cadillac,LYRIQ,Luxury 1 AWD,BEV,75894,4,500,4.6,2024,SUV,102,12.0,190.0,5,5,793,1722,505,505,24.0,3150.0,2633.0,LYRIQ Luxury 1 AWD,All-Wheel Drive,0.0,1,"['CCS1', 'J1772']",0.0
Cadillac_LYRIQ_Luxury_1_RWD_BEV_2024_CA,Cadillac,LYRIQ,Luxury 1 RWD,BEV,71899,4,340,5.7,2024,SUV,102,12.0,190.0,5,5,793,1722,505,505,20.0,3050.0,2527.0,LYRIQ Luxury 1 RWD,Rear-Wheel Drive,0.0,1,"['CCS1', 'J1772']",0.0
Cadillac_LYRIQ_Luxury_2_RWD_BEV_2024_CA,Cadillac,LYRIQ,Luxury 2 RWD,BEV,76899,4,340,5.7,2024,SUV,102,12.0,190.0,5,5,793,1722,505,505,20.0,3050.0,2527.0,LYRIQ Luxury 2 RWD,Rear-Wheel Drive,0.0,1,"['CCS1', 'J1772']",0.0
Cadillac_LYRIQ_Luxury_3_RWD_BEV_2024_CA,Cadillac,LYRIQ,Luxury 3 RWD,BEV,81199,4,340,5.7,2024,SUV,102,12.0,190.0,5,5,793,1722,505,505,20.0,3050.0,2527.0,LYRIQ Luxury 3 RWD,Rear-Wheel Drive,0.0,1,"['CCS1', 'J1772']",0.0
Cadillac_LYRIQ_Sport_1_AWD_BEV_2024_CA,Cadillac,LYRIQ,Sport 1 AWD,BEV,75894,4,500,4.6,2024,SUV,102,12.0,190.0,5,5,793,1722,505,505,24.0,3150.0,2633.0,LYRIQ Sport 1 AWD,All-Wheel Drive,0.0,1,"['CCS1', 'J1772']",0.0
Cadillac_LYRIQ_Sport_1_RWD_BEV_2024_CA,Cadillac,LYRIQ,Sport 1 RWD,BEV,71899,4,340,5.7,2024,SUV,102,12.0,190.0,5,5,793,1722,505,505,20.0,3050.0,2527.0,LYRIQ Sport 1 RWD,Rear-Wheel Drive,0.0,1,"['CCS1', 'J1772']",0.0
Cadillac_LYRIQ_Sport_2_RWD_BEV_2024_CA,Cadillac,LYRIQ,Sport 2 RWD,BEV,76899,4,340,5.7,2024,SUV,102,12.0,190.0,5,5,793,1722,505,505,20.0,3050.0,2527.0,LYRIQ Sport 2 RWD,Rear-Wheel Drive,0.0,1,"['CCS1', 'J1772']",0.0
Cadillac_LYRIQ_Sport_3_RWD_BEV_2024_CA,Cadillac,LYRIQ,Sport 3 RWD,BEV,81199,4,340,5.7,2024,SUV,102,12.0,190.0,5,5,793,1722,505,505,20.0,3050.0,2527.0,LYRIQ Sport 3 RWD,Rear-Wheel Drive,0.0,1,"['CCS1', 'J1772']",0.0
Cadillac_LYRIQ_AWD_BEV_2024_CA,Cadillac,LYRIQ,TECH AWD,BEV,70694,4,500,4.0,2024,SUV,102,12.0,190.0,5,5,793,1722,494,494,21.0,3150.0,2521.0,LYRIQ TECH AWD,All-Wheel Drive,0.0,1,"['CCS1', 'J1772']",0.0
Cadillac_LYRIQ_RWD_BEV_2024_CA,Cadillac,LYRIQ,TECH RWD,BEV,66699,4,340,6.3,2024,SUV,102,12.0,190.0,5,5,793,1722,505,505,24.0,3050.0,2521.0,LYRIQ TECH RWD,Rear-Wheel Drive,0.0,1,"['CCS1', 'J1772']",0.0
Chevrolet_Blazer_EV_LT_AWD_BEV_2024_CA,Chevrolet,Blazer EV,LT eAWD,BEV,56999,4,288,6.0,2024,Crossover,85,12.0,150.0,2,5,722,1674,449,449,19.0,2950.0,2421.0,Blazer EV LT eAWD,All-Wheel Drive,0.0,1,"['CCS1', 'J1772']",
Chevrolet_Blazer_EV_RS_AWD_BEV_2024_CA,Chevrolet,Blazer EV,RS eAWD,BEV,63999,4,288,6.0,2024,Crossover,102,12.0,150.0,2,5,722,1674,449,449,22.0,2950.0,2536.0,Blazer EV RS eAWD,All-Wheel Drive,0.0,1,"['CCS1', 'J1772']",
Chevrolet_Blazer_EV_RS_RWD_BEV_2024_CA,Chevrolet,Blazer EV,RS eRWD,BEV,63999,4,340,6.5,2024,Crossover,102,12.0,190.0,2,5,722,1674,521,521,23.0,3000.0,2536.0,Blazer EV RS eRWD,Rear-Wheel Drive,0.0,1,"['CCS1', 'J1772']",
Chevrolet_Equinox_EV_2LT_AWD_BEV_2024_CA,Chevrolet,Equinox,2LT AWD,BEV,51699,4,288,6.2,2024,Crossover,85,12.0,150.0,5,5,748,1620,459,459,22.0,,,Equinox 2LT AWD,All-Wheel Drive,,1,"['CCS1', 'J1772']",
Chevrolet_Equinox_EV_2LT_FWD_BEV_2024_CA,Chevrolet,Equinox,2LT FWD,BEV,48199,4,210,0.0,2024,Crossover,85,12.0,150.0,5,5,748,1620,513,513,19.0,,,Equinox 2LT FWD,Front-Wheel Drive,,1,"['CCS1', 'J1772']",
Chevrolet_Equinox_EV_2RS_AWD_BEV_2024_CA,Chevrolet,Equinox,2RS AWD,BEV,53499,4,288,6.2,2024,Crossover,85,12.0,150.0,5,5,748,1620,459,459,22.0,,,Equinox 2RS AWD,All-Wheel Drive,,1,"['CCS1', 'J1772']",
Chevrolet_Equinox_EV_2RS_FWD_BEV_2024_CA,Chevrolet,Equinox,2RS FWD,BEV,49999,4,210,0.0,2024,Crossover,85,12.0,150.0,5,5,748,1620,513,513,19.0,,,Equinox 2RS FWD,Front-Wheel Drive,,1,"['CCS1', 'J1772']",
Chevrolet_Equinox_EV_3LT_AWD_BEV_2024_CA,Chevrolet,Equinox,3LT AWD,BEV,54399,4,288,6.2,2024,Crossover,85,12.0,150.0,5,5,748,1620,459,459,22.0,,,Equinox 3LT AWD,All-Wheel Drive,,1,"['CCS1', 'J1772']",
Chevrolet_Equinox_EV_3LT_FWD_BEV_2024_CA,Chevrolet,Equinox,3LT FWD,BEV,50899,4,210,0.0,2024,Crossover,85,12.0,150.0,5,5,748,1620,513,513,19.0,,,Equinox 3LT FWD,Front-Wheel Drive,,1,"['CCS1', 'J1772']",
Chevrolet_Equinox_EV_3RS_AWD_BEV_2024_CA,Chevrolet,Equinox,3RS AWD,BEV,55899,4,288,6.2,2024,Crossover,85,12.0,150.0,5,5,748,1620,459,459,22.0,,,Equinox 3RS AWD,All-Wheel Drive,,1,"['CCS1', 'J1772']",
Chevrolet_Equinox_EV_3RS_FWD_BEV_2024_CA,Chevrolet,Equinox,3RS FWD,BEV,52399,4,210,0.0,2024,Crossover,85,12.0,150.0,5,5,748,1620,513,513,19.0,,,Equinox 3RS FWD,Front-Wheel Drive,,1,"['CCS1', 'J1772']",
Chevrolet_Silverado_Electric_3WT_BEV_2024_CA,Chevrolet,Silverado,3WT,BEV,74771,4,510,6.0,2024,pickup_truck,244,19.0,350.0,5,5,303,303,632,632,31.0,4491.0,0.0,Silverado 3WT,All-Wheel Drive,,1,"['CCS1', 'J1772']",
Chevrolet_Silverado_Electric_4WT_BEV_2024_CA,Chevrolet,Silverado,4WT,BEV,80571,4,515,6.0,2024,pickup_truck,244,19.0,350.0,5,5,303,303,724,724,33.0,4491.0,3898.0,Silverado 4WT,All-Wheel Drive,,1,"['CCS1', 'J1772']",
Chevrolet_Silverado_Electric_First-Edition_RST_BEV_2024_CA,Chevrolet,Silverado,First-Edition RST,BEV,117571,4,754,4.5,2024,pickup_truck,244,19.0,350.0,5,5,303,303,708,708,34.0,4763.0,0.0,Silverado First-Edition RST,All-Wheel Drive,,1,"['CCS1', 'J1772']",
Chrysler_Pacifica_Hybrid_Pinnacle_PHEV_2024_CA,Chrysler,Pacifica PHEV,Pinnacle,PHEV,73495,4,260,8.8,2024,Minivan,16,7.0,0.0,2,7,915,3797,51,835,26.0,2744.0,2262.0,Pacifica PHEV Pinnacle,Front-Wheel Drive,8.0,1,['J1772'],0.0
Chrysler_Pacifica_Hybrid_Select_PHEV_2024_CA,Chrysler,Pacifica PHEV,Select,PHEV,59995,4,260,8.8,2024,Minivan,16,7.0,0.0,2,7,915,3797,51,835,26.0,2744.0,2262.0,Pacifica PHEV Select,Front-Wheel Drive,8.0,1,['J1772'],1633.0
Dodge_Hornet_RT_PHEV_2024_CA,Dodge,Hornet,R/T,PHEV,55745,4,288,5.9,2024,Crossover,15,7.0,0.0,2,5,650,1430,53,573,27.0,2419.0,1877.0,Hornet R/T,All-Wheel Drive,8.0,1,['J1772'],0.0
Dodge_Hornet_RT_Plus_PHEV_2024_CA,Dodge,Hornet,R/T Plus PHEV,PHEV,61745,4,288,5.9,2024,Crossover,15,7.0,,2,5,650,1430,53,573,27.0,2419.0,1875.0,Hornet R/T Plus PHEV,All-Wheel Drive,8.0,1,['J1772'],
Fiat_500e_La_Prima_BEV_2024_CA,Fiat,500e,La Prima EV,BEV,39995,2,117,9.0,2024,Hatchback,42,11.0,85.0,2,4,185,550,227,227,19.0,1690.0,1435.0,500e La Prima EV,Front-Wheel Drive,0.0,1,"['CCS1', 'J1772']",
Fiat_500e_Red_Edition_BEV_2024_CA,Fiat,500e,Red Edition EV,BEV,39995,2,117,9.0,2024,Hatchback,42,11.0,85.0,2,4,185,550,227,227,19.0,1690.0,1435.0,500e Red Edition EV,Front-Wheel Drive,0.0,1,"['CCS1', 'J1772']",
Ford_Escape_PHEV_2024_CA,Ford,Escape Plug-in Hybrid,,PHEV,46999,4,210,7.9,2024,Crossover,14,3.0,,2,5,974,1722,60,831,21.0,2041.0,1671.0,Escape Plug-In Hybrid,Front-Wheel Drive,6.0,1,['J1772'],
Ford_F-150_Lightning_LARIAT_BEV_2025_CA,Ford,F-150 Lightning,LARIAT,BEV,95595,4,433,4.5,2025,pickup_truck,131,12.0,150.0,5,5,399,399,515,515,25.0,3878.0,3126.0,F-150 Lightning LARIAT,All-Wheel Drive,0.0,1,"['J1772', 'CCS1']",0.0
Ford_F-150_Lightning_Platinum_BEV_2025_CA,Ford,F-150 Lightning,Platinum,BEV,110495,4,433,4.5,2025,pickup_truck,131,12.0,150.0,5,5,399,399,483,483,27.0,3878.0,3126.0,F-150 Lightning Platinum,All-Wheel Drive,,1,"['J1772', 'CCS1']",0.0
Ford_F-150_Lightning_XLT_BEV_2025_CA,Ford,F-150 Lightning,XLT,BEV,69995,4,345,5.1,2025,pickup_truck,98,12.0,150.0,5,5,399,399,386,386,25.0,3742.0,2728.0,F-150 Lightning XLT,All-Wheel Drive,,1,"['J1772', 'CCS1']",0.0
Ford_Mustang_Mach_E_GT_Extended_Range_AWD_BEV_2025_CA,Ford,Mustang Mach E,GT Extended Range AWD,BEV,69995,4,358,3.5,2025,Crossover,72,11.0,150.0,5,5,974,974,426,426,23.0,2712.0,2246.0,Mustang Mach E GT Extended Range AWD,All-Wheel Drive,0.0,1,"['J1772', 'CCS1']",0.0
Ford_Mustang_Mach_E_Premium_Standard_Range_AWD_BEV_2025_CA,Ford,Mustang Mach E,Premium Standard Range AWD,BEV,60995,4,232,4.8,2025,Crossover,72,12.0,150.0,5,5,974,974,402,402,21.0,2640.0,2232.0,Mustang Mach E Premium Standard Range AWD,All-Wheel Drive,0.0,1,"['J1772', 'CCS1']",0.0
Ford_Mustang_Mach_E_Premium_Standard_Range_RWD_BEV_2025_CA,Ford,Mustang Mach E,Premium Standard Range RWD,BEV,58995,4,198,5.9,2025,Crossover,72,12.0,150.0,5,5,974,974,402,402,20.0,2558.0,2084.0,Mustang Mach E Premium Standard Range RWD,Rear-Wheel Drive,0.0,1,"['J1772', 'CCS1']",0.0
Ford_Mustang_Mach_E_Select_Standard_Range_AWD_BEV_2025_CA,Ford,Mustang Mach E,Select Standard Range AWD,BEV,56995,4,232,4.8,2025,Crossover,72,12.0,150.0,5,5,974,974,402,402,21.0,2640.0,2081.0,Mustang Mach E Select Standard Range AWD,All-Wheel Drive,0.0,1,"['J1772', 'CCS1']",0.0
Ford_Mustang_Mach_E_Select_Standard_Range_RWD_BEV_2025_CA,Ford,Mustang Mach E,Select Standard Range RWD,BEV,54995,4,198,5.9,2025,Crossover,72,12.0,150.0,5,5,974,974,402,402,20.0,2558.0,1993.0,Mustang Mach E Select Standard Range RWD,Rear-Wheel Drive,0.0,1,"['J1772', 'CCS1']",0.0
Genesis_Electrified_G80_Prestige AWD_BEV_2024_CA,Genesis,Electrified G80,Prestige AWD,BEV,105000,4,365,4.9,2024,Sedan,87,11.0,350.0,5,5,304,304,454,454,22.0,2771.0,2285.0,Electrified G80 Prestige AWD,All-Wheel Drive,,1,"['CCS1', 'J1772']",
Genesis_Electrified_GV70_Prestige_AWD_BEV_2024_CA,Genesis,Electrified GV70,Prestige AWD,BEV,84500,4,429,4.8,2024,SUV,77,11.0,350.0,2,5,813,1601,383,383,20.0,2740.0,2285.0,Electrified GV70 Prestige AWD,All-Wheel Drive,,1,"['CCS1', 'J1772']",
Genesis_GV60_Performance_AWD_BEV_2024_CA,Genesis,GV60,Performance AWD,BEV,80500,4,429,4.0,2024,SUV,77,11.0,350.0,2,5,680,1550,378,378,23.0,2640.0,2210.0,GV60 Performance AWD,All-Wheel Drive,,1,"['CCS1', 'J1772']",
gmc_hummer_ev_pickup_2x_bev_2024_CA,GMC,Hummer EV Pickup Truck,2X,BEV,131098,4,570,3.0,2024,pickup_truck,212,19.0,300.0,5,5,1039,1039,500,500,37.0,4785.0,4110.0,Hummer EV Pickup Truck 2X,4-Wheel Drive,0.0,1,"['CCS1', 'J1772']",0.0
gmc_hummer_ev_pickup_3x_bev_CA,GMC,Hummer EV Pickup Truck,3X,BEV,157598,4,1000,3.0,2024,pickup_truck,212,19.0,350.0,5,5,320,320,613,613,37.0,4785.0,4110.0,Hummer EV Pickup Truck 3X,4-Wheel Drive,,1,"['CCS1', 'J1772']",
gmc_hummer_ev_suv_2x_bev_CA,GMC,Hummer EV SUV,2X,BEV,131098,4,570,3.5,2024,SUV,212,19.0,300.0,5,5,320,320,488,488,42.0,4531.0,4110.0,Hummer EV SUV 2X,4-Wheel Drive,,1,"['CCS1', 'J1772']",
gmc_hummer_ev_suv_3x_bev_CA,GMC,Hummer EV SUV,3X,BEV,144098,4,830,3.5,2024,SUV,212,19.0,300.0,5,5,320,320,505,505,42.0,4531.0,4110.0,Hummer EV SUV 3X,4-Wheel Drive,,1,"['CCS1', 'J1772']",
Honda_Prologue_EX_BEV_2024_CA,Honda,Prologue,EX,BEV,59990,4,288,7.0,2024,Crossover,85,12.0,150.0,5,5,714,1634,452,452,22.0,,2307.0,Prologue EX,All-Wheel Drive,,1,"['CCS1', 'J1772']",
Honda_Prologue_Touring_BEV_2024_CA,Honda,Prologue,Touring,BEV,69990,4,288,7.0,2024,Crossover,85,12.0,150.0,5,5,671,1543,439,439,23.0,,2392.0,Prologue Touring,All-Wheel Drive,,1,"['CCS1', 'J1772']",
Hyundai_Ioniq_5_Preferred_Long_Range_BEV_2024_CA,Hyundai,IONIQ 5,Preferred Long Range,BEV,54990,4,225,7.3,2024,Crossover,77,11.0,350.0,2,5,770,1680,488,488,19.0,2430.0,2002.0,IONIQ 5 Preferred Long Range,Rear-Wheel Drive,0.0,1,"['CCS1', 'J1772']",0.0
Hyundai_Ioniq_6_Pref_Long_Range_BEV_2024_CA,Hyundai,IONIQ 6,Preferred Long Range,BEV,54999,4,225,7.4,2024,Sedan,77,11.0,350.0,5,5,316,316,581,581,15.0,2410.0,1985.0,IONIQ 6 Preferred Long Range,Rear-Wheel Drive,,1,"['CCS1', 'J1772']",
